,price,milage,year,make,model,url,dealer,vin
0,"[$35,887]","66,041 km",2022 ,Toyota ,RAV4 LE 4dr All-Wheel Drive,/used/vehicle/2022-toyota-rav4-le-id14041071.htm,https://www.salmonarmtoyota.com,
1,"[$36,488]","26,539 km",2022 ,Toyota ,RAV4 LE 4dr All-Wheel Drive,/used/vehicle/2022-toyota-rav4-le-id14151103.htm,https://www.salmonarmtoyota.com,
2,"[$33,998]","83,542 km",2022 ,Toyota ,RAV4 LE 4dr All-Wheel Drive,/used/vehicle/2022-toyota-rav4-le-id14155276.htm,https://www.salmonarmtoyota.com,
3,"[$33,877]","69,021 km",2021 ,Toyota ,RAV4 LE 4dr All-Wheel Drive,/used/vehicle/2021-toyota-rav4-le-id14005835.htm,https://www.salmonarmtoyota.com,
4,"[$37,488]","39,536 km",2021 ,Toyota ,RAV4 XLE 4dr All-Wheel Drive,/used/vehicle/2021-toyota-rav4-xle-id14147136.htm,https://www.salmonarmtoyota.com,
5,"[$34,487]","47,425 km",2021 ,Toyota ,RAV4 LE 4dr All-Wheel Drive,/used/vehicle/2021-toyota-rav4-le-id14151098.htm,https://www.salmonarmtoyota.com,
6,"[$35,840]",None,2025 ,Toyota ,RAV4 LE 4dr All-Wheel Drive,/new/vehicle/2025-toyota-rav4-le-id14128504.htm,https://www.peacecountrytoyota.ca,
7,"[$38,444]","46,427 km",2020 ,Toyota ,RAV4 Hybrid Limited 4dr All-Wheel Drive,/used/vehicle/2020-toyota-rav4-hybrid-limited-id13926822.htm,https://www.peacecountrytoyota.ca,
8,"35,499","71,642 KM",2019,Toyota,RAV4,/used/2019-Toyota-RAV4-id12095945.html,https://www.sargenttoyota.ca,2T3J1RFV3KC008022
9,"40,328",None,2025,Toyota,RAV4 Hybrid,/new/inventory/2025-Toyota-RAV4_Hybrid-id12168539.html,https://www.sargenttoyota.ca,2T3BWRFV2SW284129
10,"43,160",5 KM,2025,Toyota,RAV4,/new/inventory/2025-Toyota-RAV4-id12196550.html,https://www.sargenttoyota.ca,2T3R1RFV3SC527722
11,"45,510",5 KM,2025,Toyota,RAV4 Hybrid,/new/inventory/2025-Toyota-RAV4_Hybrid-id12196551.html,https://www.sargenttoyota.ca,2T3RWRFV7SW285582
12,Call for pricing,5 KM,2025,Toyota,RAV4,/new/inventory/2025-Toyota-RAV4-id12157746.html,https://www.sargenttoyota.ca,2T3R1RFV9SC525005
13,Call for pricing,5 KM,2025,Toyota,RAV4,/new/inventory/2025-Toyota-RAV4-id12161734.html,https://www.sargenttoyota.ca,2T3R1RFV7SW533103
14,"41,535",None,2025,Toyota,RAV4,/new/inventory/2025-Toyota-RAV4-id12159768.html,https://www.terracetoyota.ca,2T3R1RFV8SW533370
15,"$35,615",10 km," class=""carMake srp-fullname"">2025 Toyota RAV4 LE",Toyota,2025 Toyota RAV4 LE,/inventory/New-2025-Toyota-RAV4/1327092,https://www.quesneltoyota.ca,2T3B1RFV8SC524073
16,"$49,585",10 km," class=""carMake srp-fullname"">2025 Toyota RAV4 Hybrid Limited",Toyota,2025 Toyota RAV4 Hybrid Limited,/inventory/New-2025-Toyota-RAV4/1327091,https://www.quesneltoyota.ca,2T3DWRFV7SW282966
